index,accuracies,fmeasures,aucs
1,0.4827586206896552,0.44015444015444016,0.7115384615384616
2,0.4827586206896552,0.4276315789473684,0.7169811320754718
3,0.3620689655172414,0.3283255086071987,0.560377358490566
4,0.39655172413793105,0.3532972284166932,0.6759259259259259
5,0.5344827586206896,0.49073170731707316,0.7352941176470589
6,0.41379310344827586,0.3875776397515528,0.6730769230769231
7,0.7241379310344828,0.6403100775193798,0.7145833333333333
8,0.3620689655172414,0.33826703669441877,0.6509433962264151
9,0.5,0.4530081300813008,0.6540616246498598
10,0.603448275862069,0.5294532627865961,0.7788461538461539
11,0.5172413793103449,0.4520917678812416,0.657051282051282
12,0.5344827586206896,0.49073170731707316,0.7352941176470589
13,0.5344827586206896,0.49073170731707316,0.7352941176470589
14,0.4827586206896552,0.45962732919254656,0.7
15,0.5172413793103449,0.4520917678812416,0.7358490566037736
16,0.43103448275862066,0.4009389671361502,0.6826923076923077
17,0.5,0.4245638043106398,0.5737179487179487
18,0.4482758620689655,0.43137254901960786,0.6799999999999999
19,0.46551724137931033,0.41528455284552845,0.6282051282051282
20,0.43103448275862066,0.3775609756097561,0.5981132075471698
21,0.5172413793103449,0.4956521739130435,0.7142857142857143
22,0.5344827586206896,0.49073170731707316,0.7352941176470589
23,0.4827586206896552,0.4727272727272727,0.6875
24,0.5344827586206896,0.42825848849945236,0.6342592592592593
25,0.39655172413793105,0.3646322378716745,0.5897435897435899
26,0.3793103448275862,0.3515527950310559,0.5801282051282052
27,0.5172413793103449,0.4520917678812416,0.7358490566037736
28,0.4827586206896552,0.3958333333333333,0.7272727272727273
29,0.5344827586206896,0.4785214785214785,0.6736694677871149
30,0.46551724137931033,0.41528455284552845,0.7075471698113207
