index,accuracies,fmeasures,aucs
1,0.7549668874172185,0.7859000665914941,0.620718462823726
2,0.6821192052980133,0.7063825703042518,0.5842044134727061
3,0.8675496688741722,0.8272110788190639,0.5423664122137405
4,0.8609271523178808,0.8442891705404322,0.6197802197802197
5,0.8344370860927153,0.8077202456248516,0.5805446194225721
6,0.7615894039735099,0.805900297231058,0.6256967670011148
7,0.8344370860927153,0.8364922276671664,0.5985513608428447
8,0.8609271523178808,0.8557481955502643,0.6501196172248804
9,0.8410596026490066,0.8133734966444439,0.5014619883040936
10,0.8807947019867549,0.8671804278431559,0.5779411764705882
11,0.8211920529801324,0.8274289033504327,0.5910886742756805
12,0.8940397350993378,0.8645061293504298,0.5550925925925926
13,0.8278145695364238,0.8145491862851694,0.5618320610687023
14,0.8874172185430463,0.8817767074720716,0.6409313725490196
15,0.8211920529801324,0.8066394021160984,0.5748766737138831
16,0.8344370860927153,0.8217821846104776,0.6170176630434783
17,0.847682119205298,0.8247882801525186,0.5292397660818714
18,0.8013245033112583,0.7844901673322886,0.5608595800524934
19,0.8278145695364238,0.8373007113073339,0.5523983315954119
20,0.8344370860927153,0.8165779565642548,0.5217209690893901
21,0.8741721854304636,0.8426516823867817,0.5875457875457876
22,0.8079470198675497,0.7694733522548092,0.46923076923076923
23,0.8410596026490066,0.8585724797645328,0.6091127098321343
24,0.8013245033112583,0.8237032225355684,0.5698644421272158
25,0.8278145695364238,0.8040992151091488,0.5406593406593406
26,0.8410596026490066,0.8016556291390728,0.568095238095238
27,0.7947019867549668,0.7615731045748161,0.5062335958005248
28,0.847682119205298,0.841607935381785,0.6012949039264829
29,0.8145695364238411,0.8234770148328879,0.5657407407407408
30,0.7748344370860927,0.7885522159959246,0.6231501057082452
